Text,Rating,Tanggal,Username,Label Sentimen
"Game nya bagus,gak membosankan, puzzle nya juga gak terlalu susah.semoga subtitle untuk quest nanti nya bisa bahasa Indonesia 🙏🙏🙏",5,2025-03-03 13:56:29,Pengguna Google,positif
"Overall, the game is good👍",5,2025-03-03 12:40:45,Pengguna Google,positif
"GILA STORYNYA, CUT SCENENYA JUGA GG",5,2025-03-03 11:52:59,Pengguna Google,positif
nice,5,2025-03-03 11:26:39,Pengguna Google,positif
BEST EVER,5,2025-03-03 10:29:07,Pengguna Google,positif
game nya keren,5,2025-03-03 10:23:48,Pengguna Google,positif
bagus,5,2025-03-03 10:16:49,Pengguna Google,positif
"Game luar biasa optimal,bahkan Dev mendengar kan pendapat dan keluhan player,untuk sekarang agak lumayan frame drop yah (wajar hp gw mid device),semoga dioptimalkan di hp mid,dan untuk stabilitas jaringan mohon diperbaiki lagi ,sisanya udh ok 👍",4,2025-03-03 09:51:34,Pengguna Google,positif
"I think the RAM usage is still not optimal, please check again",4,2025-03-03 09:44:24,Pengguna Google,positif
"aku rating bintang 5 karena game keren, baik, dan demawan. Tolong untung update kedepannya tambahkan bahasa Indonesia untuk text nya 🙏, terima kasih",5,2025-03-03 08:47:24,Pengguna Google,positif
"Pls give me more low pity, i love kuroo sm 🥰",5,2025-03-03 05:36:31,Pengguna Google,positif
kurang translate indonesia,4,2025-03-03 05:20:08,Pengguna Google,positif
Bagus karena gua dapat Phoebe,5,2025-03-03 03:29:39,Pengguna Google,positif
Kerennn,5,2025-03-03 02:43:24,Pengguna Google,positif
baru coba main,5,2025-03-03 01:13:39,Pengguna Google,positif
Mantap,5,2025-03-02 23:16:22,Pengguna Google,positif
"Tolong buat story yg lebih dark dikit lah kuro, jangan segan untuk mengorbankan karakter demi story, plus tolong buat musuh yang menjadi mimpi buruk rover , akan lebih seru jika ada entitas yang dapat memporakporandakan dan membuat kekacauan sehingga terjadi konflik dahsyat . Jangan hanya ngebuat karakter baru trus ujung ujungnya hidup aman damai",5,2025-03-02 22:44:30,Pengguna Google,positif
sangat menarik,5,2025-03-02 21:52:29,Pengguna Google,positif
"Overall gamenya udh bagus cuma yg bikin gw emosi itu gacha substats dari echonya, gila udh buang buang resources banyak banget tapi masih blom bisa dapet substats yg kita mau, saran untuk kuro game minimal ada item buat milih substats yang kita mau udh itu aja tolong di dengar",4,2025-03-02 21:33:52,Pengguna Google,positif
goog job kur,5,2025-03-02 21:14:37,Pengguna Google,positif
nice,5,2025-03-02 20:11:12,Pengguna Google,positif
"Gameplay nya Udah Oke Cuman Masih Kurang Optimalkan, kasihan hp ke bawah menengah masih kurang nyaman, contoh Snapdragon 680 aja masih kesusahan apa lagi mediatek 85, Itu Aja Sih Semoga ke depannya lebih di optimalkan gamenya🙏🙏",3,2025-03-02 19:44:07,Pengguna Google,netral
Sangat seruuu I am so obsessed with this game🥺🥺,5,2025-03-02 19:26:59,Pengguna Google,positif
Tolong tambahkan subtitle Indonesia,4,2025-03-02 18:51:56,Pengguna Google,positif
"INI GAME NYA GA KIKIR SAMASEKALI, INI GAMES BAIKKK I LOVEEEE IT",5,2025-03-02 18:30:56,Pengguna Google,positif
Gamenya bagus tapi tolong dimudahkan buat upgrade echo nya dong developer udah cuma itu aja,5,2025-03-02 17:11:24,Pengguna Google,positif
mantep,5,2025-03-02 15:20:57,Pengguna Google,positif
I really enjoyed it. Everything was perfect.,5,2025-03-02 12:33:03,Pengguna Google,positif
"I need brant with 10 pulls,kuro I beg you",5,2025-03-02 12:02:49,Pengguna Google,positif
Sub indo nya min usahakan 🥰,5,2025-03-02 11:47:59,Pengguna Google,positif
"Dulu waktu awal rilis masih susah buat dimainin di hp, sekarang sudah bagus dan tidak ngelag. SARAN aja sihhh untuk menambahkan subtitle bahasa Indonesia supaya bisa mengerti alur dari game ini😆😆😁",5,2025-03-02 11:34:19,Pengguna Google,positif
Kapan ad Bahasa Indonesia ya #INDOPRIDE 🗿,5,2025-03-02 10:20:59,Pengguna Google,positif
"Pas awal update baru baik-baik aja, tpi besoknya kok tiba-tiba pas mau login ke gamenya malah kedip gtu..",5,2025-03-02 09:49:05,Pengguna Google,positif
Solon🔥,5,2025-03-02 09:42:49,Pengguna Google,positif
"very good game, but many bug in grafis",4,2025-03-02 08:58:26,Pengguna Google,positif
Update I'm at 2.1 right now and I forgive you Kuro.,5,2025-03-02 08:40:05,Pengguna Google,positif
"Nggak kikir, tidak sperti yg disebelah.",5,2025-03-02 07:20:03,Pengguna Google,positif
boleh lah,4,2025-03-02 06:50:24,Pengguna Google,positif
Game terbaik👍 kalau ada tambahan bahasa Indonesia bakalan lebih seruuuu pastinyaa semoga update ada bahasa Indonesia,5,2025-03-02 04:09:16,Pengguna Google,positif
udh stabil ga kaya pas rilis kemaren mantapp wuwa klo bisa bansosnya banyakin lgi tiap update hehe,5,2025-03-02 02:38:22,Pengguna Google,positif
Drop rate ampas,1,2025-03-02 01:03:03,Pengguna Google,negatif
Such nice game,5,2025-03-02 00:55:30,Pengguna Google,positif
Absolutely cinema,5,2025-03-02 00:28:38,Pengguna Google,positif
"MAKASIH GEM BAIK, DEV BAIK, MAKASIJ KURO UDH NYIPTAIN GIM SE INDAH INI SNNSJSJS 😍😍",5,2025-03-01 23:21:04,Pengguna Google,positif
"...Gw edit komen gw di tahun 2025,dimana bener bener gila banget ni game, gw kasih 10/10 dah, absolut cinema, Btw gw aga geli pd org Yg bilang ""kecewa g ada sub inggrisnya"",wkwk ketahuan orang yg tidur saat diajar guru di sekolah, ni game emg g diperuntukan untk org malas dan bodoh kyk mereka 🤣😂, dan ada yang bilang "" Updatenya gede banget"" Wkwk ni game juga g diperuntukkan untuk hp kentang punya mereka wkwk,, game absolut cinema gini disuruh update cuma seGB doang?",5,2025-03-01 22:02:28,Pengguna Google,positif
Game terbaik dev nya pengertian asli bakal awet terimakasih kuro telah menghadirkan game terbaik 👍👍 Saya minta saran hp yang uda menggunakan sg 860 lebi bisa kebuka fitur 120fps ny saya pengen ngerasakan main di 120fps di hp🙏👍,5,2025-03-01 21:28:27,Pengguna Google,positif
Grafik nya mantap,5,2025-03-01 18:42:13,Pengguna Google,positif
Thanks game,5,2025-03-01 18:28:33,Pengguna Google,positif
Event cacat,5,2025-03-01 17:36:25,Pengguna Google,positif
"Saran redmi 14C Gak semua settings grafis rendah membuat game jadi lebih lancar malah sebaliknya membuat mesin (gpucpu) lebih bekerja keras, tapi setingan seperti ini biasanya ada di game AAA mobile kayak solo leveling arise",5,2025-03-01 16:45:16,Pengguna Google,positif
Udah cape2 download ga bisa di instal,4,2025-03-01 15:13:00,Pengguna Google,positif
"Saran aja buat kuro games, tolong dong tambahin fitur hapus data terdahulu untuk quest quest yang udah kita kerjain atau pun event event yang sudah kita selesaikan, jadi nya dengan fitur ini player dapat memiliki penyimpanan lebih. Tolong yaa kuro.games",5,2025-03-01 14:08:08,Pengguna Google,positif
"It takes a very long time to unlink an account, not recommended.",1,2025-03-01 12:20:27,Pengguna Google,negatif
Secara keseluruhan bagus tapi kalok bisa buat pengoptimalan pada device yg bukan menggunakan chip Snapdragon seperti penggunaan chip Helios kerasa banget gak seimbangnya. saat saya tes semua harus di turunin sampai tingkat bermainya jadi gak menyenangkan jadi tolong pengoptimalan nya buat para pengguna device Helios,5,2025-03-01 11:54:01,Pengguna Google,positif
IM IN LOVE.,5,2025-03-01 11:02:35,Pengguna Google,positif
Game dermawan,5,2025-03-01 09:58:53,Pengguna Google,positif
Nice👍,5,2025-03-01 09:21:19,Pengguna Google,positif
Sukaaa banget sama character Phoebe makasiiii kuroo,5,2025-03-01 08:20:04,Pengguna Google,positif
Developer mendengarkan,5,2025-03-01 06:55:26,Pengguna Google,positif
mantap,5,2025-03-01 06:12:53,Pengguna Google,positif
"Asli, seru sih ini game, semoga makin berkembang, dan bisa makin optimal buat hp menengah kebawah 🔥🔥",5,2025-03-01 04:40:16,Pengguna Google,positif
Saya tidak suka dengan event CO-Op seperti Apex Ragunna. Saya selalu gagal mencapai garis finish karena delay masuk ke eventnya,1,2025-03-01 04:09:06,Pengguna Google,negatif
kereen... kualitasnya,5,2025-03-01 03:49:52,Pengguna Google,positif
nice game jhonkuro,5,2025-02-28 22:27:48,Pengguna Google,positif
"please fix the use of premium tuner on echo because it's very annoying and not to mention the gacha stats is bad and always got bad, and the gacha stats so hard we need clear toa are so hard 😔",1,2025-02-28 22:14:54,Pengguna Google,negatif
"1. Rate-on feels useless 2. Pity is too high and exhausting 3. No guarantee for rate-on character within two pities 4. Weapon gacha is just as difficult as character gacha 5. F2P players struggle to save resources for pulls 6. Duplicate characters or weapons offer little benefit 7. Drop rates are too low compared to similar game 8. Limited banners rotate too quickly, making it hard to save 9. Monetization aggressively pushes players to spend money 10. Gacha system feels harsher than other games",1,2025-02-28 21:56:11,Pengguna Google,negatif
game nya udh bagus tapi ada bug atau apalah ketika buka map agak nge-glitch atau ngge bug lah jadi tolong di fiks ya,4,2025-02-28 21:08:08,Pengguna Google,positif
"kurooo ttolooongg ilangin rumputnya buat yg make hp low 😭, berat banget dihp ku",5,2025-02-28 21:07:22,Pengguna Google,positif
mantap,5,2025-02-28 20:53:28,Pengguna Google,positif
Pebanyak quest ajh selebihnya bagus semua,5,2025-02-28 18:22:10,Pengguna Google,positif
"Game baik, developer buka mata sama player, anti kikir, kurang baik aph lgi coba Ga kek sbelah game idiot story monoton jadi babu tiap negara, fandomny aph lgi sampah beut",5,2025-02-28 18:19:21,Pengguna Google,positif
The best rpg anime game so far,5,2025-02-28 17:54:58,Pengguna Google,positif
What a game 👏👏,5,2025-02-28 16:05:02,Pengguna Google,positif
Aku suka sama game nya apalagi dari combatnya dan grafik nya yang bagus 💯,5,2025-02-28 14:11:31,Pengguna Google,positif
Sugoiii,5,2025-02-28 12:58:51,Pengguna Google,positif
game baik Dev baikk,5,2025-02-28 12:09:14,Pengguna Google,positif
bagus game nya.,5,2025-02-28 11:32:35,Pengguna Google,positif
Bagus banget,5,2025-02-28 11:02:58,Pengguna Google,positif
"nice game, dari segi sumuanya oke cuman tolong di update berikutnya suapay ada bahasa Indonesia nya min",5,2025-02-28 09:42:58,Pengguna Google,positif
Game cocok untuk bersantai serta melemaskan jari selepas bekerja. YT: CHIROCHISU,4,2025-02-28 08:40:12,Pengguna Google,positif
"I'm working on veils off in sun or shadows mission, after i defeat some echoes the mission was not continued, the instruction tell that i have to defeat the echoes but no one echoes appeared, please fix the bug",3,2025-02-28 08:07:02,Pengguna Google,netral
"Dasar game kikirpasti setiap ngegacha dapetnya lingyang terus padahal udah main Berjam jam nguli astrite, dah topup beli monthly subrcription masih aja kalah 50/50 padahal astritenya sudah ngumpulin dari jauh jauh hari Auh ah malas nih game kaya dajjal",1,2025-02-28 06:26:08,Pengguna Google,negatif
"tolong tambahkan subtitle bahasa indonesia, agar pengalaman bermain lebih enak.",5,2025-02-28 05:56:04,Pengguna Google,positif
good.,5,2025-02-28 04:19:45,Pengguna Google,positif
Tolong sediakan bahasa Indonesia,5,2025-02-28 00:46:04,Pengguna Google,positif
"secara keseluruhan ini game sudah sangat bagus, hanya saja cepat panas meskipun spek hp udah mendukung",5,2025-02-28 00:16:46,Pengguna Google,positif
Nice,5,2025-02-28 00:12:16,Pengguna Google,positif
"love this game so much, i love the combat even though it rippin my hair, thanks for the phoebe btw,ly",5,2025-02-27 23:39:44,Pengguna Google,positif
salah satu game RPG terbaik yang pernah aku mainkan.👍,5,2025-02-27 23:13:05,Pengguna Google,positif
Kerenn master piece ini mah,5,2025-02-27 22:18:50,Pengguna Google,positif
"Fitur skip dialog sangat menggoda~ Perbanyak karakter cowo rambut panjang domkk<33 Desain karakter top tier sihh, gameplaynya SERU PAKE ABIS AISSUSJAK",5,2025-02-27 21:54:35,Pengguna Google,positif
Kikirrr😠😠,5,2025-02-27 20:32:22,Pengguna Google,positif
Please for subtittle Indonesia! Wuthering Waves make great again!,5,2025-02-27 19:38:51,Pengguna Google,positif
Phoebe sangat imut,5,2025-02-27 19:31:38,Pengguna Google,positif
Gamenya bagus banget. Cuma minta tolong tambahkan bahasa indonesia nya ya kak,5,2025-02-27 19:26:37,Pengguna Google,positif
5 kali kalah rate off😞😞😔😔😔😔😔🙂🙂🙂🙃🙃🙃🙃,3,2025-02-27 19:20:43,Pengguna Google,netral
terlalu sering update,2,2025-02-27 19:09:26,Pengguna Google,negatif
"ini game masterpiece, udah itu aja",5,2025-02-27 18:04:01,Pengguna Google,positif
"gacha nya ampas, padahal aku player baru, udah habis 15 ribu astrite, karna kalah 50/50, aku player baru aja susah buat gacha Phoebe, belum pernah gacha sebelum nya, harusnya sih di permudah biar player barunya jadi betah, jadi sampai sini aja nyobain game ini",2,2025-02-27 17:03:20,Pengguna Google,negatif
Story cutscane nya bagus bed,5,2025-02-27 15:48:25,Pengguna Google,positif
"GACHA WEAPON SYUKUR TIDAK ADA SYSTEM RATE OFF & ON. TAPI, BUAT GACHA CHARA ITU BEDA CERITA LAGI... PITTY NYA SELANGIT SAAT RATE ON DI CHARA JUGA SAMA SELANGIT",1,2025-02-27 15:26:59,Pengguna Google,negatif
🗿👌,5,2025-02-27 14:51:52,Pengguna Google,positif
"saya harap segera di tambahkan bahasa indonesia , tidak semua orang bisa berbahasa inggris , saya sendiri memahami alus cerita hanya dri voice jepang , tolong di tambahkan segera !",5,2025-02-27 14:45:12,Pengguna Google,positif
Terimakasih game baik saolanya bisa tukar mc g kayak game sebelah,5,2025-02-27 13:37:58,Pengguna Google,positif
"Buat yg kasih rating kecil karna leg lah, force close lah, lambat rendering lah, atau apa lah itu liat dulu spek HP lo sama sinyal lo, patokan SD 778g atau setara low 60 fps, hp lo di bawah itu maen maksa main wuwa ya jelas lah HP lo teriak, kalo gadgetnya yg kentang jangan nyalahin gamenya",5,2025-02-27 12:36:33,Pengguna Google,positif
anjay baru main langsung bagus,5,2025-02-27 11:11:55,Pengguna Google,positif
seru dan menantang,5,2025-02-27 10:59:46,Pengguna Google,positif
BEST GAME 😭,5,2025-02-27 10:46:27,Pengguna Google,positif
"After so much time and money i spend for this game and think for rest little bit and thinking for back, but after this update tanks to kuro my account is gone",1,2025-02-27 10:44:02,Pengguna Google,negatif
Hi kuro game tolong tambahan fitur change email agar lebih mudah ketika mau memindahkan akun ke email lain,3,2025-02-27 09:23:41,Pengguna Google,netral
story game nya memang bagus banget,5,2025-02-27 08:32:14,Pengguna Google,positif
"Can You Add Indonesian Language ? And Then Delete Previous Story Feature, So That the Game is Not Too Heavy.",5,2025-02-27 08:15:50,Pengguna Google,positif
GESHULIN WHEEENNNNNN😭,5,2025-02-27 08:07:55,Pengguna Google,positif
asik,5,2025-02-27 07:23:13,Pengguna Google,positif
"Terpaksa uninstal,, bug jaringan gk d benerin smpe skrng",1,2025-02-27 07:05:38,Pengguna Google,negatif
Saya beri bintang 3 dulu karena tidak ada bahasa Indonesia.. Tolong saya butuh bahasa Indonesia....,3,2025-02-27 06:34:46,Pengguna Google,netral
gacha gk kikir,5,2025-02-27 06:18:51,Pengguna Google,positif
"Optimalisasi gamenya jauh terasa ringan dibanding versi awalnya. Untuk Event cukup banyak, namun di Event utamanya terlalu lama untuk pemain yg nggk punya banyak waktu. Mungkin subtitle Indonesia ditambahkan juga untuk promosi di pemain Indonesia. Kenapa saya merekomendasikan sub indo karena mulai dari Story, Desaign Character dan Grafik sudah bagus dan kemungkinan player Indo ingin memainkannya tpi terhalang pemahaman sub English masih sedikit kurang. Di ""Trends"" terlihat jelas datanya",5,2025-02-27 04:30:31,Pengguna Google,positif
game sangat hd tapi kalo bisa lebih di optimalkan lagi performa game nya soal nya suka drop fps tiba tiba,5,2025-02-26 23:41:15,Pengguna Google,positif
mantap,5,2025-02-26 23:21:02,Pengguna Google,positif
Sangat Sinematik Sekali!👐🙂👏😁,5,2025-02-26 22:57:42,Pengguna Google,positif
Cuma ngeleh aja si kendala nya,5,2025-02-26 21:58:13,Pengguna Google,positif
"aku senang yes, banyakin ladang pls endgame ini hey",5,2025-02-26 21:44:33,Pengguna Google,positif
Ngefram dikit gak ngaruh,5,2025-02-26 19:53:09,Pengguna Google,positif
scene epic berseta dengan battlenya,5,2025-02-26 19:46:42,Pengguna Google,positif
bagus game nya sangat menakjubkan dan real,5,2025-02-26 19:29:50,Pengguna Google,positif
"Wah the best sih ini game baru kali ini saya main game sebagus ini,jalan ceritanya juga menarik dari segi grafik juga oke lah gk kalah sama game sebelah pokoknya the best lah.Bintang 5 buat game ini",5,2025-02-26 18:30:03,Pengguna Google,positif
played on controller having fun so far😁,5,2025-02-26 17:21:23,Pengguna Google,positif
Baru nyoba lagi setelah sekian lama,4,2025-02-26 16:39:05,Pengguna Google,positif
Player f2p sangat ramah banyak bonus nya. Tolong ditingkatkan lagi gamenya lebih ramah untuk player f2p,5,2025-02-26 15:40:22,Pengguna Google,positif
I LOVVEEEEE PHOEBEBEBBEBEBEBEE,5,2025-02-26 13:58:54,Pengguna Google,positif
"mantap gamenya seperti ghensin Impack, tapi ini versi yang litenya🤙",5,2025-02-26 13:34:44,Pengguna Google,positif
"Bagus banget game-nya 😍 grafis dan musik nya juga gak ada lawan, malah aku merasa bersalah mainin game kek gini gratisan😌. Rekomendasi banget",5,2025-02-26 12:01:05,Pengguna Google,positif
Immersive gameplay,5,2025-02-26 11:29:58,Pengguna Google,positif
Goog game,5,2025-02-26 09:53:10,Pengguna Google,positif
"Why can't I continue downloading and loading, even though it's halfway through, I can't continue anymore, I'm disappointed😞😞😞",5,2025-02-26 08:24:35,Pengguna Google,positif
ini sudah lebih baik tolong dong tambahkan bahasa indonesia,5,2025-02-26 07:47:12,Pengguna Google,positif
"Bagus, dari grafik dan battlenya dan story",5,2025-02-26 07:45:32,Pengguna Google,positif
"Tolong untuk masalah jaringan di server asia lebih di perhatikan lagi, untuk sisanya udah bagus, untuk server sea jaringan sudah sangat bagus, tidak seperti awal rilis, namun untuk server asia tolong diperhatikan ya kurogames, dan kalo bisa ada fitur hapus quest lama supaya size tidak menumpuk",5,2025-02-26 07:10:10,Pengguna Google,positif
Kasih bintang ⭐ 4 dulu soal nya belum ada sub Indonesia 🇮🇩 nya ga ngerti bahasa Inggris soalnya gw😅,4,2025-02-26 07:07:43,Pengguna Google,positif
Best game,5,2025-02-26 06:47:23,Pengguna Google,positif
"Sangat Puas dan tidak pelit Selalu ada event, fitur dan gebrakan baru yg tidak membuat bosan",5,2025-02-26 06:33:51,Pengguna Google,positif
Tolong subtitle bahasa Indonesia di adakan masa kalah sama game sebelah.... Kami cinta wuwa... Please,4,2025-02-26 02:18:19,Pengguna Google,positif
"Gim baik dari awal main dikasih hoki, terus tingkatkan gamenya untuk kedepannya terutama di bagian UI map nya",5,2025-02-26 00:49:23,Pengguna Google,positif
Wow game bagus dengan graphic bagus banget,5,2025-02-25 23:48:13,Pengguna Google,positif
"SANGAT BURUK, makin berat. Di misi Ada Bug Mengecewakan,.... Sistem informasi tidak ada. Bikin Cepat Habis baterai HP. parah, udah download 18 Gb. Penyimpanan 21Gb baru main 5 menit sudah panas, baterai 100% langsung tinggal 60%> HAPUS ....GAK PAKE LAMA. terakhir gw install ini game, Buruk",1,2025-02-25 23:20:14,Pengguna Google,negatif
bagus,5,2025-02-25 22:49:26,Pengguna Google,positif
game ini bagus banget,5,2025-02-25 21:30:58,Pengguna Google,positif
"Sempat main 1 mingguan dan mencopot aplikasinya, dan kali ini aku ingin mengulang dari awal lagi, semoga tetap menarik dan sama.",5,2025-02-25 21:30:48,Pengguna Google,positif
bagus,5,2025-02-25 20:41:17,Pengguna Google,positif
GGWP WUWA,4,2025-02-25 20:36:58,Pengguna Google,positif
wah ini game bagus sih kualitas nya di atas genshin impact,5,2025-02-25 18:16:18,Pengguna Google,positif
udah ada bahasa indonesia,5,2025-02-25 17:19:27,Pengguna Google,positif
nice updute,5,2025-02-25 15:53:43,Pengguna Google,positif
"Sudah perfect si gamenya, cuma menunggu cantarella saja",5,2025-02-25 13:36:20,Pengguna Google,positif
Amazing game. Developer is very kind. But there is so much dead week but its Okay. Hope all kuro development and Employes healthy and mau god bless you all,5,2025-02-25 13:24:20,Pengguna Google,positif
Adain bahasa Indonesia dong 🙏🙏,4,2025-02-25 12:54:11,Pengguna Google,positif
Best game I played,5,2025-02-25 12:51:55,Pengguna Google,positif
